asset_id,semantic_name,review_decision,unity_gate,agent_notes,pivot_hint,sorting_layer_hint,collider_policy
thecat_map_cat_room_warm_wood_floor_tile_patch_batch93,warm_wood_floor_tile_patch,candidate_keep,candidate_import_scene_scale_test,"scale so it reads as floor patch, not raised platform",center,floor_decal,none
thecat_map_cat_room_soft_oval_prop_shadow_decal_batch93,soft_oval_prop_shadow_decal,candidate_keep,light_dark_floor_visibility_test,alpha max 35; verify visible on target floor,center,floor_shadow_decal,none
thecat_map_cat_room_rose_rug_edge_strip_batch93,rose_rug_edge_strip,candidate_keep,rug_edge_only_not_ui_frame,decorative rug edge; do not reuse as UI border,bottom-center,floor_trim,none
thecat_map_cat_room_teal_cushion_placement_shadow_pad_batch93,teal_cushion_placement_shadow_pad,candidate_reclassify,floor_mat_or_cushion_pad_scale_test,"reads as floor mat/cushion pad, not generic placement shadow",center,floor_decal,none
thecat_map_cat_room_cream_wall_baseboard_straight_batch93,cream_wall_baseboard_straight,candidate_keep,baseboard_wall_alignment_test,straight wall baseboard segment,bottom-center,wall_trim,none
thecat_map_cat_room_cream_wall_baseboard_corner_batch93,cream_wall_baseboard_corner,candidate_keep,corner_alignment_test,pairs with baseboard straight segment,custom-inner-corner,wall_trim,none
thecat_map_cat_room_tiny_paw_print_floor_scuff_batch93,tiny_paw_print_floor_scuff,candidate_keep,floor_opacity_test_no_collider,multi-component paw scuff; reduce opacity if too heavy,center,floor_decal,none
thecat_map_cat_room_moonlit_window_light_floor_patch_batch93,moonlit_window_light_floor_patch,candidate_conditional,light_decal_scene_readability_test,use as focal floor light only; avoid large-area overlay,center,light_decal,none
thecat_map_cat_room_small_dream_crack_ground_decal_batch93,small_dream_crack_ground_decal,candidate_keep,event_feedback_only_floor_contrast_test,strong dream crack; avoid permanent decoration if too dominant,center,event_decal,none
thecat_map_cat_room_threshold_mat_doorstep_trim_batch93,threshold_mat_doorstep_trim,candidate_reclassify,doorway_only_threshold_test,"doorway/threshold prop, not generic trim or UI frame",bottom-center,doorway_trim,none
thecat_map_cat_room_soft_dust_sparkle_ground_decal_batch93,soft_dust_sparkle_ground_decal,candidate_keep,no_mipmap_no_compression_tiny_sparkle_test,small components may vanish with mipmap/compression,center,ambient_decal,none
thecat_map_cat_room_rounded_room_boundary_corner_trim_batch93,rounded_room_boundary_corner_trim,candidate_keep,corner_trim_alignment_scale_test,corner trim; star ornament may be visually strong,custom-inner-corner,wall_trim,none
