lane_id,scope,p0_need,current_evidence,current_state,next_batch_policy,unity_gate,cat_consistency_rule
starter_cat_body,Saiban Nephthys Suzune combat bodies,P0 playable identity and role readability,"colored turnaround source locks; Batch 49/50/51 strict candidates; active-cat screenshots pending",blocked_by_unity_validation,do_not_generate_or_install_without_explicit_three_view_match,"active-cat screenshots 04-06; Console clean; Sprite import; prefab/scene binding",must_match_locked_colored_three_view_turnarounds
starter_cat_hud_avatar,starter cat HUD avatars,P0 switching and role scan,"Batch 58 source-locked install; runtime binding present; Unity screenshot pending",installed_pending_unity_validation,no_new_body_redraws,"HUD screenshot; Console clean; import settings",derive_only_from_source_locked_turnaround_crops_or approved motifs
core_enemy_body,Black Mud Cold Light Call Tyrant combat sprites,P0 threat readability,"Batch 40/42/44 cutouts and Batch 46 dashboard; active-enemy screenshots pending",blocked_by_unity_validation,no_formal_replace_until_active_enemy_review,"active-enemy screenshots; Console clean; Sprite import; prefab/scene binding",non_cat_enemy_source_concepts_override_style_mood
bedroom_interactables,bed litterbox feeder props,P0 bed defense and four-core interactions,"Batch 54 candidate pack; no Unity meta; runtime scale pending",candidate_complete_pending_unity_review,review_only_until_runtime_scale_passes,"battle screenshot; Console clean; pathing/readability; prefab/scene binding",non_cat_props_only_no_cat_body_derivatives
bedroom_interaction_feedback,bed litterbox feeder affordance rings and blocked/ready markers,P0 interaction feel and player clarity,"Batch 67 candidate pack; no Unity meta; interaction timing screenshots pending",candidate_complete_pending_unity_review,review_only_until_runtime_scale_passes,"future Unity screenshot; Console clean; interaction timing readability",non_cat_ui_vfx_only_no_turnaround_crops
owner_sleep_states,"owner in bed deep sleep half-awake near-awake wake-failure animation",P0 central defense target and owner damage feedback,"Batch 76 v002 overlay candidate; 24 padded alpha frames; validator passed; no Unity meta",candidate_complete_pending_unity_review,review_only_until_runtime_overlay_and_timing_screenshots_pass,"Sprite slicing; pivot; runtime scale; overlay vs bed-layer check; sleep-state timing; battle screenshot; Console clean",non_cat_owner_overlay_no_starter_cat_derivatives
owner_sleep_status_icons,"sleep half-awake near-awake wake-failure HUD and settlement status icons",P0 owner-state UI synchronization with Batch 76,"Batch 77 symbolic non-cat icon candidate pack; 12 icons across 4 states x 3 sizes; validator passed; no Unity meta",candidate_complete_pending_unity_review,review_only_until_hud_and_settlement_screenshots_pass,"Sprite import settings; 64px/32px readability; dark/light HUD; cooldown overlay; HUD and settlement screenshot; Console clean",non_cat_symbolic_ui_no_starter_cat_derivatives
settings_controls,"music volume sound volume display toggle checkbox settings controls",P0 basic settings-screen usability,"Batch 78 settings control candidate pack; 6 exact-size transparent controls; three-agent review integrated; validator passed; no Unity meta",candidate_complete_pending_unity_review,review_only_until_settings_screen_screenshots_pass,"Sprite import settings; slider drag and knob alignment; switch value-fill behavior; switch on/off color-blind contrast; dark/light settings panel; click target scale; settings screenshot; Console clean",non_cat_ui_only_no_starter_cat_derivatives
system_icons,"settings sound mute back close pause continue retry lock warning icons",P0 global UI navigation settings pause warning and locked-state clarity,"Batch 79 system icon candidate pack; 30 icons across 10 meanings x 3 sizes; three-agent review integrated; validator passed; no Unity meta",candidate_complete_pending_unity_review,review_only_until_system_icon_screenshots_pass,"Sprite import settings; 64px/32px readability; mute vs sound clarity; warning meaning without text; dark/light UI panels; UI screenshot; Console clean",non_cat_ui_only_no_starter_cat_derivatives
starter_skill_vfx,Saiban Nephthys Suzune skill VFX,P0 skill feedback and authority identity,"Batch 61 installed from Batch 55; Unity timing/screenshots pending",installed_pending_unity_validation,no_new_install_before_timing_review,"skill cast screenshots; Console clean; import settings; prefab binding",symbolic_authority_only_no_cat_body_replacement
skill_hud_feedback,skill ready cooldown no target hunger cost targeting range,P0 combat HUD clarity,"Batch 60 installed from Batch 57; Unity HUD screenshots pending",installed_pending_unity_validation,no_new_install_before_hud_review,"battle HUD screenshot; Console clean; timing/readability",non_cat_ui_vfx_only
runtime_controls,pause resume speed restart panels,P0 testability and playtest flow,"Batch 62/63 candidate packs; no Unity meta; runtime scale pending",candidate_complete_pending_unity_review,review_only_until_hud_scale_passes,"pause/speed/restart screenshots; Console clean; shortcut readability",non_cat_ui_only
secondary_enemy_warning,Dream Rail Red Eye Unread Red Dot Falling Teddy warnings,P1 expansion prep and future enemy readability,"Batch 64 candidate pack; no Unity meta; future enemy binding pending",candidate_complete_pending_unity_review,review_only_until_enemy_prefab_gate_exists,"future enemy warning screenshot; Console clean; prefab binding",non_cat_enemy_vfx_only
route_map_readability,current selected path locked boss route accents,P0 route clarity,"Batch 65 candidate pack; no Unity meta; route screenshot pending",candidate_complete_pending_unity_review,review_only_until_route_map_screenshot_passes,"route-map screenshot; Console clean; selected/current/path readability",non_cat_ui_only
formal_install_decisions,approve or reject candidate installation,P0 asset governance,"Batch 56 blocked; checklist file exists; Unity MCP tools unavailable in current session",blocked_by_unity_validation,no_install_without_specific_unity_evidence,"formal review plus Console screenshot import and scene/prefab proof",cat_body_rows_require_three_view_match
