"component_id","category","required_for","installed_paths","installed_present","candidate_evidence","candidate_present","current_state","next_gate","notes"
"primary_button_default","button","entry screen, main menu, route/start confirmations","Assets/TheCat/Art/UI/Frames/thecat_ui_button_primary_384x96_v001.png","yes","none","no","installed_pending_unity","Runtime click-target and text-fit screenshots","Only the primary/default frame is installed; no state atlas yet."
"button_state_atlas","button","hover, pressed, selected, disabled, danger/secondary states","none","no","design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_manifest.csv;design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_review_sheet_v001.png","yes","candidate_complete_pending_unity_review","Screen-priority review, then Unity click-target and text-fit screenshots","Batch 82 derivative textless button states cover the prior missing row; not image2 provenance."
"dreamglass_panel","panel","menu, HUD, pause/settings panels, modal surfaces","Assets/TheCat/Art/UI/Frames/thecat_ui_panel_dreamglass_512x256_v001.png","yes","none","no","installed_pending_unity","Runtime panel scaling and nine-slice/padding proof","Single base panel exists; runtime should prove scale/padding before more variants."
"modal_dialog_frame","dialog","confirmation, pause prompts, settlement details","none","no","design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_manifest.csv;design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_review_sheet_v001.png","yes","candidate_complete_pending_unity_review","Screen-priority review, then Unity modal scale/padding screenshots","Batch 82 derivative textless modal frames cover the prior missing row; not image2 provenance."
"tabs_segmented_controls","tab","settings tabs, route/detail switching, collection filters","none","no","design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_manifest.csv;design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_review_sheet_v001.png","yes","candidate_complete_pending_unity_review","Screen-priority review, then Unity selected/unselected tab screenshots","Batch 82 derivative textless tabs and segmented controls cover the prior missing row; not image2 provenance."
"route_reward_card_frames","card_frame","route choice cards and reward/event/boss cards","Assets/TheCat/Art/UI/Frames/thecat_ui_routecard_partner_frame_512x256_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_routecard_shop_frame_512x256_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_routecard_blessing_frame_512x256_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_routecard_dreamevent_frame_512x256_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_routecard_restnest_frame_512x256_v001.png","yes","none","no","installed_pending_unity","Route/card screenshot readability and selected/current/path states","Five route card frames are installed."
"choice_content_cards","card","shop, dream event, partner, rest, blessing cards","Assets/TheCat/Art/UI/Cards/thecat_ui_shop_item_bed_patch_card_384x160_v001.png;Assets/TheCat/Art/UI/Cards/thecat_ui_dreamevent_clear_notifications_card_384x160_v001.png;Assets/TheCat/Art/UI/Cards/thecat_ui_restnest_recovery_card_384x160_v001.png;Assets/TheCat/Art/UI/Cards/thecat_ui_partner_shadowmaru_preview_card_384x160_v001.png;Assets/TheCat/Art/UI/Cards/thecat_ui_blessing_oath_bedline_card_384x160_v001.png","yes","none","no","installed_pending_unity","Result/route/reward UI screenshots and text overlay proof","Representative cards are installed for each current card family."
"list_row_frame","list_row","settings rows, reward summaries, collection/list screens","none","no","design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_manifest.csv;design/development/asset_candidates/ui/common_components/batch_82_common_ui_state_candidates_2026-06-25/thecat_ui_common_states_batch82_review_sheet_v001.png","yes","candidate_complete_pending_unity_review","Screen-priority review, then Unity list density and text-fit screenshots","Batch 82 derivative textless list rows cover the prior missing row; not image2 provenance."
"system_icon_set","icon","settings, sound, mute, back, close, pause, continue, retry, lock, warning","none","no","design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_manifest.csv;design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/thecat_ui_system_icons_batch79_review_sheet_v001.png","yes","candidate_complete_pending_unity_review","64px/32px semantics and import decision","Candidate-only; not installed under Assets."
"settings_control_set","settings_control","sliders, switches, checkboxes, audio/display options","none","no","design/development/asset_candidates/ui/settings_controls/batch_78_settings_control_candidates_2026-06-24/settings_controls_batch78_manifest.csv;design/development/asset_candidates/ui/settings_controls/batch_78_settings_control_candidates_2026-06-24/thecat_ui_settings_controls_batch78_review_sheet_v001.png","yes","candidate_complete_pending_unity_review","Settings screen screenshot and drag/click behavior","Candidate-only controls exist."
"runtime_control_panels","runtime_control","pause, speed, restart, keyboard hint panels","none","no","design/development/asset_candidates/ui/runtime_controls/batch_63_runtime_control_panel_candidates_2026-06-15/runtime_control_panels_batch63_manifest.csv;design/development/asset_candidates/ui/runtime_controls/batch_63_runtime_control_panel_candidates_2026-06-15/thecat_ui_runtime_control_panels_batch63_review_sheet.png","yes","candidate_complete_pending_unity_review","Pause/speed/restart HUD screenshot and click-target checks","Candidate-only; keep out of Assets until Unity evidence."
"lock_warning_controls","icon","locked route/cards, warning dialogs, unavailable skill states","none","no","design/development/asset_candidates/ui/system_icons/batch_79_system_icon_candidates_2026-06-24/system_icons_batch79_manifest.csv","yes","candidate_complete_pending_unity_review","32px/64px readability, color semantics, and screen contrast proof","Covered inside Batch 79 lock/warning system icons."
"skill_slot_state_frames","skill_slot","ready, cooldown, disabled, selected skill states","none","no","design/development/asset_candidates/ui/skill_slot_frames/batch_81_skill_slot_frame_candidates_2026-06-25/thecat_ui_skill_slot_frames_batch81_manifest_v002_light.csv;design/development/asset_candidates/ui/skill_slot_frames/batch_81_skill_slot_frame_candidates_2026-06-25/frames/thecat_ui_skill_slot_frames_batch81_contact_sheet_v002_light.png","yes","candidate_complete_pending_unity_review","Battle HUD import-test screenshots, selected-vs-ready, cooldown 99 proof","Candidate-only; v002_light is the preferred import-test candidate."
"skill_hud_feedback_overlays","skill_hud","ready, cooldown, no target, hunger cost, auto target, range","Assets/TheCat/Art/UI/Icons/thecat_ui_skill_ready_frame_512_v001.png;Assets/TheCat/Art/UI/Icons/thecat_ui_skill_cooldown_overlay_512_v001.png;Assets/TheCat/Art/UI/Icons/thecat_ui_skill_no_target_marker_512_v001.png;Assets/TheCat/Art/UI/Icons/thecat_ui_skill_hunger_cost_chip_512_v001.png;Assets/TheCat/Art/UI/Icons/thecat_ui_auto_target_reticle_512_v001.png;Assets/TheCat/Art/UI/Icons/thecat_ui_interaction_range_ripple_512_v001.png","yes","none","no","installed_pending_unity_validation","Battle HUD timing/readability screenshots and binding proof","Installed symbolic skill HUD feedback exists."
"core_gauge_bars","gauge","sleep, HP, poop, hunger HUD gauges","Assets/TheCat/Art/UI/Frames/thecat_ui_core_sleep_gauge_frame_384x48_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_core_hp_gauge_frame_384x48_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_core_poop_gauge_frame_384x48_v001.png;Assets/TheCat/Art/UI/Frames/thecat_ui_core_hunger_gauge_frame_384x48_v001.png","yes","none","no","installed_pending_unity_validation","Battle HUD screenshot and number/text overlay proof","Gauge frames/fills and icons are installed."
"result_settlement_banners","banner","victory, defeat, run clear, run fail","Assets/TheCat/Art/UI/Banners/thecat_ui_battle_result_victory_banner_512x160_v001.png;Assets/TheCat/Art/UI/Banners/thecat_ui_battle_result_defeat_banner_512x160_v001.png;Assets/TheCat/Art/UI/Banners/thecat_ui_settlement_run_cleared_banner_512x160_v001.png;Assets/TheCat/Art/UI/Banners/thecat_ui_settlement_run_failed_banner_512x160_v001.png","yes","none","no","installed_pending_unity_validation","Victory/defeat/settlement screenshots","Installed; still needs screen-level composition proof."
"reward_detail_badges","badge","gain, cost, recovery, risk, upgrade labels","Assets/TheCat/Art/UI/Badges/thecat_ui_reward_detail_gain_badge_192x64_v001.png;Assets/TheCat/Art/UI/Badges/thecat_ui_reward_detail_cost_badge_192x64_v001.png;Assets/TheCat/Art/UI/Badges/thecat_ui_reward_detail_recovery_badge_192x64_v001.png;Assets/TheCat/Art/UI/Badges/thecat_ui_reward_detail_risk_badge_192x64_v001.png;Assets/TheCat/Art/UI/Badges/thecat_ui_reward_detail_upgrade_badge_192x64_v001.png","yes","none","no","installed_pending_unity_validation","Reward-detail UI screenshot and import scan","Installed; metas were fixed to Sprite/alpha in this pass."
